급수,한자,훈,음
0,檟,가나무,가
0,哿,가할,가
0,葭,갈대 | 멀,가
0,珈,머리꾸미개,가
0,斝,옥잔,가
0,卻,물리칠,각
0,桷,서까래,각
0,蕑,난초/연밥,간
0,瞯,엿볼,간
0,玕,옥돌,간
0,榦,줄기,간
0,衎,즐길/곧을,간
0,秸,볏짚,갈
0,减,덜,감
0,歛,바랄,감
0,欿,서운할,감
0,酣,술즐길,감
0,矙,엿볼,감
0,杠,깃대,강
0,橿,참죽나무,강
0,湝,물흐를,개
0,喈,새소리/빠를,개
0,玠,큰홀,개
0,嘅,탄식할,개
0,槩,평미레,개
0,鏗,금석소리,갱
0,硜,돌소리,갱
0,秔,메벼,갱
0,賡,이을,갱
0,臄,순대,갹
0,秬,검은기장,거
0,筥,광주리,거
0,莒,나라이름,거
0,椐,느티나무,거
0,籧,대자리,거
0,袪,소매,거
0,虡,쇠북걸이틀,거
0,蘧,패랭이꽃,거
0,琚,패옥,거
0,褰,걷을,건
0,朅,떠날,걸
0,跲,엎드러질,겁
0,愒,쉴,게
0,綌,굵은갈포,격
0,鵙,왜가리,격
0,鴃,왜가리,격
0,繳,주살,격
0,狷,고집스러울,견
0,繾,곡진할,견
0,蠲,덜/정결할,견
0,豣,돼지/노루,견
0,獧,뛸,견
0,畎,밭고랑,견
0,岍,산이름,견
0,睊,흘겨볼,견
0,闋,마칠,결
0,觼,쇠고리,결
0,袺,옷섶잡을,결
0,蒹,갈대,겸
0,歉,흉년들,겸
0,惸,근심할,경
0,鶊,꾀꼬리,경
0,睘,놀라서볼,경
0,罄,다할,경
0,檠,등잔걸이,경
0,冂,멀,경
0,熲,빛날,경
0,冏,빛날,경
0,駉,살찌고큰,경
0,牼,소정강이뼈,경
0,焭,외로울,경
0,煢,외로울,경
0,黥,자자(刺字)할,경
0,褧,홑옷,경
0,雞,닭,계
0,笄,비녀,계
0,烓,화덕,계
0,刳,가를,고
0,楛,거칠,고
0,罟,그물,고
0,翶,노닐,고
0,酤,단술,고
0,槀,마른나무,고
0,熇,말릴,고
0,杲,밝을,고
0,栲,북나무,고
0,瞽,소경,고
0,觚,술잔,고
0,羖,염소,고
0,稾,원고/볏짚,고
0,盬,짠못/마실,고
0,櫜,칼집,고
0,罛,큰물고기그물,고
0,鼛,큰북,고
0,觳,곱송그릴,곡
0,轂,수레바퀴통,곡
0,牿,외양간,곡
0,緄,띠,곤
0,髡,머리깎을,곤
0,棞,문지방,곤
0,錕,붉은쇠,곤
0,鯀,큰물고기,곤
0,邛,수고할,공
0,悾,정성,공
0,蜾,나나니벌,과
0,薖,너그러울,과
0,夸,사치할/자랑할,과
0,裹,쌀,과
0,鞹,가죽,곽
0,霍,곽란,곽
0,躩,바삐갈,곽
0,祼,강신제,관
0,盥,낯씻을,관
0,痯,병에지칠,관
0,錧,비녀장,관
0,丱,쌍상투,관
0,瘝,앓을,관
0,綰,얽을,관
0,鸛,황새,관
0,聒,떠지껄일,괄
0,佸,모일,괄
0,栝,전나무,괄
0,纊,고운솜,광
0,桄,광랑나무,광
0,迋,속일,광
0,誑,속일,광
0,瑰,옥돌,괴
0,蕢,흙덩이,괴
0,虢,나라이름,괵
0,鞃,고삐,굉
0,觥,뿔잔,굉
0,儌,갈,교
0,嘐,깨물,교
0,鷮,꿩,교
0,荍,당아욱,교
0,茭,마른꼴,교
0,敽,맬,교
0,蹻,발들,교
0,曒,밝을,교
0,姣,아름다울/아양부릴,교
0,佼,예쁠/업신여길,교
0,磽,자갈땅,교
0,窶,가난할,구
0,裘,갖옷,구
0,媾,겹혼인/화친할,구
0,俅,공순할,구
0,扣,두드릴,구
0,覯,만나볼,구
0,姤,만날,구
0,遘,만날,구
0,漚,물거품,구
0,糗,미숫가루,구
0,艽,변방,구
0,韭,부추,구
0,觩,뿔굽을,구
0,劬,수고할,구
0,屨,신,구
0,搆,얽을,구
0,疚,오랜병,구
0,璆,옥경쇠,구
0,雊,장끼울,구
0,笱,통발,구
0,嫗,할미,구
0,彀,활당길,구
0,捄,흙파올릴,구
0,匊,움큼,국
0,詘,말막힐,굴
0,棬,나무그릇,권
0,睠,돌아볼,권
0,鬈,머리고울,권
0,綣,정다울,권
0,匱,갑(匣)/다할,궤
0,氿,구멍샘,궤
0,跪,꿇어앉을,궤
0,餽,먹일,궤
0,垝,무너질,궤
0,簣,삼태기,궤
0,匭,상자,궤
0,簋,제기(祭器)이름,궤
0,宄,간악할,귀
0,頄,광대뼈,규
0,騤,말건장할,규
0,頍,머리들,규
0,糺,살필,규
0,睽,어그러질/반목할,규
0,闚,엿볼,규
0,刲,찌를/벨,규
0,戣,창,규
0,樛,휠,규
0,麕,노루,균
0,箘,죽순,균
0,殛,귀양보낼,극
0,亟,빠를,극
0,襋,옷깃,극
0,郤,틈,극
0,漌,맑을,근
0,墐,묻을,근
0,岌,산높을,급
0,亙,뻗칠,긍
0,覊,굴레/나그네,기
0,羇,굴레/나그네,기
0,掎,당길,기
0,歧,두갈래길,기
0,綦,들메끈,기
0,曁,미칠,기
0,屺,민둥산,기
0,棊,바둑,기
0,暣,볕,기
0,僛,비틀거려춤출,기
0,忮,사나울,기
0,軝,수레굴통대,기
0,旂,용대기,기
0,跂,육발이/발돋움할,기
0,蘷,조심할,기
0,頎,헌걸찰,기
0,墍,흙바를,기
0,芑,흰차조,기
0,姞,삼갈,길
0,戁,두려워할,난
0,赧,부끄러울,난
0,陧,위태할,날
0,軜,고삐,납
0,曩,지난번,낭
0,迺,이에,내
0,鼐,큰솥,내
0,佞,재주있을/아첨할,녕
0,甯,차라리,녕
0,砮,돌살촉,노
0,峱,산이름,노
0,怓,어지러울,노
0,猱,원숭이,노
0,孥,자식,노
0,呶,지껄일,노
0,穠,무성할,농
0,餒,주릴,뇌
0,耨,호미,누
0,狃,익숙할,뉴
0,忸,익을,뉴
0,鈕,인꼭지,뉴
0,柅,굄목,니
0,你,너,니
0,怩,부끄러워할,니
0,昵,친할,닐
0,爹,아비,다
0,慱,근심할,단
0,煅,쇠불릴,단
0,癉,앓을,단
0,襢,웃통벗을,단
0,漙,이슬많을,단
0,闥,궐문,달
0,怛,슬플,달
0,黮,검을,담
0,窞,구덩이,담
0,耼,귓바퀴없을,담
0,菼,달,담
0,髧,머리늘어질,담
0,餤,먹을,담
0,惔,속탈,담
0,萏,연봉오리,담
0,驔,정강이흰말,담
0,儻,고상할/구차할,당
0,倘,만일,당
0,鐺,목쇠사슬,당
0,螗,씽씽매미,당
0,鏜,종고소리,당
0,譈,원망할,대
0,懟,원망할,대
0,憝,원망할/악할,대
0,祋,창,대
0,忉,근심할,도
0,慆,기뻐할,도
0,翿,깃일산,도
0,綯,노꼴,도
0,檮,등걸,도
0,闍,성문,도
0,鞉,소고,도
0,荼,씀바귀,도
0,瘏,앓을,도
0,咷,울,도
0,謟,의심할,도
0,鼗,작은북,도
0,擣,찧을,도
0,稌,찰벼,도
0,叨,탐할,도
0,櫝,궤,독
0,黷,더러울,독
0,匵,손궤,독
0,烔,뜨거울,동
0,蝀,무지개,동
0,彤,붉은칠할,동
0,罿,새그물,동
0,僮,아이종,동
0,侗,지각없을,동
0,斁,무너질,두
0,縢,노/꿰맬,등
0,螣,등사,등
0,滕,물솟아오를,등
0,蠃,나나니벌,라
0,臝,벌거벗을,라
0,雒,올빼미/표가라,락
0,闌,가로막을,란
0,瓓,옥빛,란
0,捋,뽑을/문지를,랄
0,稂,가라지/강아지풀,랑
0,倈,올/위로할,래
0,勑,위로할,래
0,騋,큰말,래
0,藘,꼭두서니,려
0,膂,등골뼈,려
0,厲,엄할/숫돌,려
0,蠡,좀먹을,려
0,酈,땅이름,력
0,櫟,떡갈나무,력
0,鬲,솥,력
0,孌,아름다울,련
0,栵,산밤나무,렬
0,蘞,거지덩굴,렴
0,蛉,고추잠자리,령
0,苓,복령(茯苓),령
0,姈,여자영리할,령
0,昤,햇빛,령
0,鱧,가물치,례
0,壚,검은흙,로
0,簵,대이름,로
0,纑,베올,로
0,彔,새길,록
0,隴,언덕,롱
0,耒,따비,뢰
0,罍,술잔,뢰
0,敹,가릴,료
0,繚,동일,료
0,潦,장마,료
0,摟,안을,루
0,纍,가둘,류
0,懰,근심할/아름다울,류
0,虆,덩굴,류
0,藟,덩굴풀,류
0,駵,월따말,류
0,罶,통발,류
0,穋,올벼,륙
0,僇,욕할,륙
0,懍,두려워할,름
0,廩,쌀곳간,름
0,詈,꾸짖을,리
0,离,도깨비/산신,리
0,纚,맬,리
0,梩,삼태기,리
0,縭,신꾸밀,리
0,俐,영리할,리
0,莅,임할,리
0,涖,임할,리
0,粼,물맑을,린
0,鄰,이웃,린
0,苙,구릿대/짐승우리,립
0,禡,마제(禡祭),마
0,藐,멀,막
0,瘼,병들,막
0,鏋,금,만
0,墁,바를,만
0,秣,말먹이,말
0,蘉,힘쓸,망
0,韎,가죽,매
0,浼,더럽힐,매
0,脢,등심,매
0,苺,딸기,매
0,痗,병들,매
0,鋂,사슬고리,매
